,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",4891148,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4107498,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,telepatía,"Kali Uchis",4067464,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
4,"Astronaut In The Ocean","Masked Wolf",3772607,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",3551486,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Blinding Lights","The Weeknd",3442811,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,DÁKITI,"Bad Bunny",3306951,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"On The Ground",ROSÉ,3262615,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
9,"Hold On","Justin Bieber",2955850,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
10,"What’s Next",Drake,2950367,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
11,Gone,ROSÉ,2945783,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
12,"The Business",Tiësto,2887459,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"Calling My Phone","Lil Tjay",2840730,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
14,Bandido,"Myke Towers",2774518,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
15,Streets,"Doja Cat",2749598,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
16,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2647852,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
17,"Mood (feat. iann dior)",24kGoldn,2643753,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
18,"WITHOUT YOU","The Kid LAROI",2642360,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
19,"Heartbreak Anniversary",Giveon,2624557,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
20,Up,"Cardi B",2474172,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,"Wants and Needs (feat. Lil Baby)",Drake,2435449,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
22,"LA NOCHE DE ANOCHE","Bad Bunny",2403489,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
23,"Ella No Es Tuya - Remix","Rochy RD",2348113,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
24,"Levitating (feat. DaBaby)","Dua Lipa",2250569,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
25,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2247786,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
26,"Good Days",SZA,2110526,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
27,Whoopty,CJ,2044066,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
28,BICHOTA,"KAROL G",2035315,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
29,Dynamite,BTS,2027315,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
30,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1975313,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
31,positions,"Ariana Grande",1949786,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
